CustomerID,TotalSpent,Salary,Address
838,91.84,9712.0,8SDm0fveyuPNmGcBCL2IF38eTid
919,64.4,8142.0,e1IfsrIqnyDVV1Q7B
1314,65.83,5968.0,nDnDiNH2yXMNaEvcf4
2049,69.69,5658.0,l nWwJW3VRyx6kE04hM8WUtrUbXWsd
2346,61.56,1003.0,Zhx9ekZgqv43slFiGi7EB8x
2389,18.38,8917.0,k0qu90xNbUXAtNy3KcjflWD0tt v
2813,148.92000000000002,3374.0,WQsaOQSt56jBnvulrfaH57XP
3059,49.21,9286.0,DnUvjQmHHtDfswomUA
3460,24.92,3990.0,Ef2TBJA4remTTNaAft1G
3682,67.67,7971.0,nXy8pkHidwuEeo I
3726,41.42,1840.0,adNwA18hbjzNcNyNc8jv
4060,29.71,2164.0,xfi9bMnxOPdK4oIb5Ru2DIPiy6lc
4735,99.76,4124.0,WhkIe6YvJaATVMKl6hI
4891,15.67,9191.0,vq3sTYxG6jXA n
4893,101.72999999999999,6134.0,7LElkz13bD4XwnX
5156,101.55,1858.0,0gGrNB7PjMmhMQX1ER7oc8kFM5Ck0
5566,95.46,3972.0,oalAIkOUcBXDfYpkTQbmvWu61eTvz
5740,11.01,2295.0,9RpYobc86su1I2D rU6KA5Cq
6396,71.65,6386.0,Gh7LWk19s8FXi5c
6714,133.8,1627.0,tO1VLTZrmE5pHlRhD0C
6945,43.16,6192.0,eyaaiMPItfhtlv74AcRZ1ot 9EdB
6997,78.0,4533.0,kNlrk6Z0XT2AQUGAHvf5
7269,35.4,2030.0,K4pEiJnFyekcE2DVcNeX
7897,103.34,8706.0,mn gkF73jsj3dXv
8359,76.71000000000001,3013.0,1tHGIzw1IxUcLPc2HfAMQug98y
8909,83.82,4972.0,BQtlq9v9zFQSU776TRQneTGW0bO
9033,14.92,8626.0,X3QXDTQuadRTyVdGAVZWxZ4m
10035,82.71,9818.0,d2fnfPlrKQBShubpvSU0V5
10307,53.53,4317.0,bClI6XJ8wreb487CGGUDW5XSOOU
10742,58.33,6369.0,S8sm ShvBWFqcFz67BdV
10978,29.65,2343.0,63UBBl6LznZDrJJuvfPVOn3jdDc6
11043,79.03999999999999,6404.0,P8ITsr6K27LVncPnh1dnVrS7HfXS7
11728,37.3,8565.0,QPdGKicBI1MwfbTEDt6h3nYlvMHT
12251,22.48,1046.0,pMuwb1 7TQHoUblGtj
14150,52.07,9624.0,ADylRXk2CtwxedkiLXFMQ
14183,35.71,9319.0,z8vP7OdQFdOrY6G
14904,78.96,2245.0,XkVlr t41RYjIW3iv4yY c
15738,51.730000000000004,6380.0,gl0xqrh1WKJ3DkPHk
16979,33.36,2930.0,1A8vcqVfTWX xzlS1tiqI4
17220,93.15,3734.0,El93yLXutbqdXZmOynu2UXG
17692,47.82,9942.0,c9CAyEfyZOWmmZa2Y1snYkgXvoV
18250,90.24,4960.0,HpxYDGjJdt0kD8e5Zb5sbeUVLByK9f
20365,92.14,7608.0,QCUOXsNYxCGxjaUbIYaIp
20799,61.68,4568.0,UZBv3OWfR6QyenjxYUaPsl5BhsD
21909,113.44,6571.0,ztQUmSon1OL6JXVF6egW
22192,119.14,2599.0,V0rbSC0JElFul6o
22883,153.81,7820.0,QKSUPWdhG1KYPG0obYv1KqWQ
23168,62.89,7184.0,W1RjYf2XTsjt8JVuIoh
23617,59.98,9859.0,eWx0Tr8BXQzu4JVm
25094,51.91,3612.0,cO5NdGMIwPJXhPy7ilUm
25844,98.52000000000001,2525.0,HIM9921 zbf6v3ez6
26953,132.14,6846.0,WaENea8kXkqzkLwq
27213,58.32,8608.0,tGe0AkYAPituRiU8 Pe
27221,27.03,8520.0,4uXPcO8 5vQV6rXCIVrsTU
27424,42.39,1956.0,kst4McBV6rtLKehHmftTrsAwbmAzby
27727,52.55,2139.0,cx5riQ2o0ScBc55pm2dvWX
28386,284.58,3927.0,X65WnyoQdhfm7DH2mEqUaoyGfci
28387,25.39,4423.0,erTX2zEEjHCXPTlr
29718,25.4,3211.0,WyNhBt4 qYbvg0vnSP0Ce
30530,36.98,4319.0,LSkflJFgiDswWph6TRIJx
31330,116.94,8100.0,FSfdUANV6KfACsfXD5lVksdBV3N
31686,224.7,8685.0,diOG4RUGIW1gupYURUtGroCWBLNWKf
31841,16.65,7109.0,moDcHofsdmW2NB LcOcdsVllvP7gq
32308,81.41,8713.0,WQmjd476jp9HaQMvRFOfVMPKh9
32713,60.05,6730.0,7YY7SLKhmPehEbRLSyxTjb hWpnXdz
33539,10.69,9340.0,pHp7obcWzOCn5XrJ0xi
34513,74.17,8331.0,Yfs0gbd3NGlIAGv
34868,122.12,6421.0,iCXxG4qa4d3v6QPPNhPzU8w6ql7eF
34968,51.14,4150.0,GK OxkVSDDVeQtiPYkht9iYX
35234,76.06,7564.0,ED747qiYdx8syx2pz
36132,125.74000000000001,5796.0,osFyy3gsQBE3TkULUOwXpFlLSRc
36189,47.13,9162.0,9ZtMrgAyuauRLncjHFfqDbj
36224,39.25,5638.0,JAlDVsI9Bi8GVbudiWEF9ggxdokw
36991,15.57,5041.0,oY6R61rwI7kT6ffBR
37561,131.8,7239.0,2CsU8CrV2Gg4RpxOpk1oy8xk
37933,10.83,8852.0,Rkp83QosTwXnCqnz6Dte4vAOigIrz
38378,80.11,9066.0,lv9k8o19fr3pWBn g7a7c7NBMn
38518,32.13,1929.0,B9zNLiI6VqYst2ki
38757,90.25,9030.0,BPfb10G5Ooj4l6DD2CEwf8hVGS
38903,90.28,4594.0,TNuIVbNxfG aZSp
39474,54.61,3112.0,FtRjsLQi 9urKOWdYewfBb
39797,55.04,9926.0,UWLZ8ew4SJa66vF6Qj8f5CA8qPh
39829,67.17,5761.0,hankQ5kxV yen3Y3bfD3AadShKg9
40107,38.24,1779.0,hllc076kLVXp3mqbFc
40193,29.89,7318.0,D953ug6hfhG54eHxc0iIT
40422,81.21,8725.0,LbrUlSNZz7tOz9xQJ
40955,69.54,7379.0,lxRi mgDHs7qOLHkC3Ez9
42521,13.06,4275.0,TMLw8r1JL9lV1rmKz3utWofXL
42932,18.63,7973.0,kQvI1aZuEolhyPxuJcMdO7VQ
43414,59.57,5212.0,pVoaaroAMChr2OZ87 RMDuNrAjtz
43577,62.48,4385.0,9nwT35m79tMa9WyOBfNvS3M
43904,86.98,9536.0,7mMbQ6uyuE7o59U5XNVce8Za
44492,91.13,5215.0,ycnFPNnstU2tzo4HZE1 otaaa
45855,63.91,5925.0,zmjP6dTpY4g2wg rr2YA
46748,39.66,1233.0,Ke3tb0DcwapNqw8Y6P30DU5
46927,78.91,2059.0,xW4rdozj9iyUYGCV6
47323,52.49,6266.0,aXOnlPjVuzQQv8KL2Cym7u4T5Yl
47643,80.4,9098.0,ZwasjsjkmgDqpfMp
48536,63.12,2808.0,27bCCv cIBVFj8zGbW4WoN1gRSn
48679,22.29,3459.0,b9KKRJzO2tu0fOC2p
49069,19.84,6738.0,U7u G6G0FMQGlox8aiawv7HIiUgUz
49105,23.57,9038.0,2eOJ4kTGPi5H Zh3
49573,79.4,9124.0,6WuFxkib2Ud1P1jLyies5k
49747,79.86,9025.0,sPFUuETpDWqrku9exrxMB
39352,76.64,8913.0,xBqlO50Qc7UC0Xlc9X6GPzV0CnL4H
226,69.95,3464.0,hrHmUedp5L8PYYh4S3igxZJ
348,105.83000000000001,1270.0,HZO11kRaGdsmGiH5
590,90.12,6542.0,z7n1Ep4kLiv8e1jrozbpqnPDWD26
1180,12.99,2404.0,yXYl3NQD5fd9T1ytyW3YM7SRH
1215,18.55,4126.0,R5PAGIm HwIWsV856Jg66QvW3
1447,224.84,1197.0,kwp4wSCnFsFjduHGedf EY
1632,134.44,3323.0,IDOIhLlnQuJcuQbV1wRTU
1648,15.64,8957.0,8j op40LSHYt3ZHbca2QODWDQ
2471,12.91,1700.0,t04TrI8gRKqEqF7Bs
3418,85.68,2649.0,wQHvZuPukYPJmZZ9Rq
3501,87.3,8420.0,b9HGYKOiz5 TPssv8LO6l Q
